City,Airport,iata code
ulanqab,ulanqab jining airport,UCB
ürümqi,ürümqi diwopu international airport,URC
wanzhou,wanzhou wuqiao airport,WXN
weihai,weihai dashuibo airport,WEH
wenzhou,wenzhou yongqiang airport,WNZ
wuhan,wuhan tianhe international airport,WUH
wuxi,sunan shuofang international airport,WUX
wuyishan,wuyishan airport,WUS
xiamen,xiamen gaoqi international airport,XMN
xi'an,xi'an xianyang international airport,XIY
xining,xining caojiabao international airport,XNN
xinzhou,xinzhou wutaishan airport,WUT
xishuangbanna,xishuangbanna gasa international airport,JHG
xuzhou,xuzhou guanyin airport,XUZ
yancheng,yancheng nanyang airport,YNZ
yangzhou,yangzhou taizhou international airport,YTY
yanji,yanji airport,YNJ
yantai,yantai penglai international airport,YNT
yichang,yichang sanxia airport,YIH
yinchuan,yinchuan hedong international airport,INC
yiwu,yiwu airport,YIW
yuncheng,yuncheng guangong airport,YCU
zhangjiajie,zhangjiajie hehua airport,DYG
zhanjiang,zhanjiang wuchuan airport,ZHA
zhengzhou,zhengzhou xinzheng international airport,CGO
zhuhai,zhuhai jinwan airport,ZUH
zunyi,zunyi xinzhou airport,ZYI
hong kong,hong kong international airport,HKG
macau,macau international airport,MFM
hualien city,hualien airport,HUN
kaohsiung,kaohsiung international airport,KHH
taichung,taichung international airport,RMQ
tainan,tainan airport,TNN
taipei,taipei songshan airport,TSA
taoyuan,taoyuan international airport,TPE
busan,gimhae international airport,PUS
daegu,daegu international airport,TAE
jeju,jeju international airport,CJU
seoul,gimpo international airport,GMP
cheongju,cheongju international airport,CJJ
muan,muan international airport,MWX
yangyang,yangyang international airport,YNY
chittagong,shah amanat international airport,CGP
dhaka,shahjalal international airport,DAC
sylhet,osmani international airport,ZYL
paro,paro airport,PBH
agartala,maharaja bir bikram airport,IXA
ahmedabad,sardar vallabhbhai patel international airport,AMD
amritsar,sri guru ram dass jee international airport,ATQ
bangalore,kempegowda international airport,BLR
bhubaneswar,biju patnaik airport,BBI
chennai,chennai international airport,MAA
coimbatore,coimbatore international airport,CJB
delhi,indira gandhi international airport,DEL
goa,dabolim airport,GOI
goa,mopa airport,GOX
gaya,gaya airport,GAY
guwahati,lokpriya gopinath bordoloi international airport,GAU
hyderabad,rajiv gandhi international airport,HYD
imphal,imphal airport,IMF
indore,devi ahilya bai holkar airport,IDR
jaipur,jaipur international airport,JAI
kannur,kannur international airport,CNN
kochi,cochin international airport,COK
kolkata,netaji subhas chandra bose international airport,CCU
kozhikode,calicut international airport,CCJ
lucknow,chaudhary charan singh airport,LKO
madurai,madurai airport,IXM
mangalore,mangalore international airport,IXE
mumbai,chhatrapati shivaji maharaj international airport,BOM
nagpur,dr. babasaheb ambedkar international airport,NAG
pune,pune airport,PNQ
ranchi,birsa munda airport,IXR
siliguri,bagdogra airport,IXB
srinagar,sheikh ul-alam international airport,SXR
surat,surat airport,STV
thiruvananthapuram,trivandrum international airport,TRV
tirupati,tirupati international airport,TIR
trichy,tiruchirappalli international airport,TRZ
vadodara,vadodara airport,BDQ
varanasi,lal bahadur shastri airport,VNS
vijayawada,ntr amaravati international airport,VGA
visakhapatnam,visakhapatnam international airport,VTZ
malé,velana international airport,MLE
addu city,gan international airport,GAN
hanimaadhoo,hanimaadhoo international airport,HAQ
maamigili,villa international airport maamigili,VAM
maafaru,maafaru international airport,NMF
kathmandu,tribhuvan international airport,KTM
bhairahawa,gautam buddha international airport,BWA
pokhara,pokhara regional international airport,PKR
bahawalpur,bahawalpur airport,BHV
faisalabad,faisalabad international airport,LYP
gwadar,gwadar international airport,GWD
islamabad,islamabad international airport,ISB
karachi,jinnah international airport,KHI
lahore,allama iqbal international airport,LHE
multan,multan international airport,MUX
peshawar,bacha khan international airport,PEW
quetta,quetta international airport,UET
rahim yar khan,shaikh zayed international airport,RYK
sialkot,sialkot international airport,SKT
turbat,turbat international airport,TUK
colombo,bandaranaike international airport,CMB
hambantota,mattala rajapaksa international airport,HRI
jaffna,jaffna international airport,JAF
bandar seri begawan,brunei international airport,BWN
phnom penh,phnom penh international airport,PNH
siem reap,siem reap international airport,REP
sihanoukville,sihanouk international airport,KOS
dili,presidente nicolau lobato international airport,DIL
banda aceh,sultan iskandar muda international airport,BTJ
bandung,husein sastranegara international airport,BDO
banjarmasin,syamsudin noor international airport,BDJ
batam,hang nadim international airport,BTH
denpasar,ngurah rai international airport,DPS
jakarta,halim perdanakusuma international airport,HLP
kupang,el tari international airport,KOE
makassar,sultan hasanuddin international airport,UPG
manado,sam ratulangi international airport,MDC
mataram,lombok international airport,LOP
medan,kualanamu international airport,KNO
padang,minangkabau international airport,PDG
palembang,sultan mahmud badaruddin ii international airport,PLM
pekanbaru,sultan syarif kasim ii international airport,PKU
semarang,jenderal ahmad yani international airport,SRG
surabaya,juanda international airport,SUB
surakarta,adisumarmo international airport,SOC
tarakan,juwata international airport,TRK
yogyakarta,yogyakarta international airport,YIA
luang prabang,luang prabang international airport,LPQ
pakse,pakse international airport,PKZ
savannakhet,savannakhet airport,ZVK
vientiane,wattay international airport,VTE
alor setar,sultan abdul halim airport,AOR
ipoh,sultan azlan shah airport,IPH
johor bahru,senai international airport,JHB
kota bharu,sultan ismail petra airport,KBR
kota kinabalu,kota kinabalu international airport,BKI
kuala lumpur,kuala lumpur international airport,KUL
kuala terengganu,sultan mahmud airport,TGG
kuantan,sultan haji ahmad shah airport,KUA
kuching,kuching international airport,KCH
langkawi,langkawi international airport,LGK
penang,penang international airport,PEN
mandalay,mandalay international airport,MDL
yangon,yangon international airport,RGN
naypyidaw,naypyidaw international airport,NYT
batanes,basco airport,BSO
cagayan,cagayan north international airport,LLC
lapu-lapu city,mactan–cebu international airport,CEB
angeles city,clark international airport,CRK
davao city,francisco bangoy international airport,DVO
general santos,general santos international airport,GES
iloilo city,iloilo international airport,ILO
kalibo,kalibo international airport,KLO
laoag,laoag international airport,LAO
manila,ninoy aquino international airport,MNL
panglao island,bohol–panglao international airport,TAG
puerto princesa,puerto princesa international airport,PPS
olongapo,subic bay international airport,SFS
zamboanga city,zamboanga international airport,ZAM
singapore,changi airport,SIN
bangkok,suvarnabhumi airport,BKK
chiang mai,chiang mai international airport,CNX
chiang rai,chiang rai international airport,CEI
rayong/pattaya,u-tapao international airport,UTP
hat yai,hat yai international airport,HDY
krabi,krabi international airport,KBV
phuket,phuket international airport,HKT
surat thani,surat thani international airport,URT
ko samui,samui airport,USM
udon thani,udon thani international airport,UTH
da nang,da nang international airport,DAD
hanoi,noi bai international airport,HAN
ho chi minh city,tan son nhat international airport,SGN
can tho,can tho international airport,VCA
haiphong,cat bi international airport,HPH
huế,phu bai international airport,HUI
phu quoc,phu quoc international airport,PQC
nha trang,cam ranh international airport,CXR
quảng nam,chu lai airport,VCL
vân đồn,van don international airport,VDO
kabul,kabul international airport,KBL
herat,herat international airport,HEA
kandahar,kandahar international airport,KDH
mazar-i-sharif,mazar-i-sharif international airport,MZR
manama,bahrain international airport,BAH
abadan,abadan international airport,ABD
ahvaz,ahvaz international airport,AWZ
arak,arak international airport,AJK
ardabil,ardabil airport,ADU
asaluyeh,persian gulf airport,PGU
bandar abbas,bandar abbas international airport,BND
birjand,birjand international airport,XBJ
bushehr,bushehr airport,BUZ
gorgan,gorgan international airport,GBT
hamadan,hamadan international airport,HDM
ilam,ilam airport,IIL
isfahan,isfahan international airport,IFN
kerman,ayatollah hashemi rafsanjani airport,KER
kermanshah,shahid ashrafi esfahani airport,KSH
kish island,kish airport,KIH
konarak,chabahar konarak airport,ZBR
lamerd,lamerd airport,LFM
lar,larestan international airport,LRR
mashhad,mashhad international airport,MHD
qeshm island,qeshm international airport,GSM
rasht,rasht airport,RAS
sari,dasht-e naz airport,SRY
shiraz,shiraz international airport,SYZ
tabriz,tabriz international airport,TBZ
tehran,imam khomeini international airport,IKA
urmia,urmia airport,OMH
yazd,shahid sadooghi airport,AZD
zahedan,zahedan airport,ZAH
al najaf,al najaf international airport,NJF
baghdad,baghdad international airport,BGW
basra,basra international airport,BSR
erbil,erbil international airport,EBL
mosul,mosul international airport,OSM
nasiriyah,nasiriyah airport,XNH
sulaymaniyah,sulaimaniyah international airport,ISU
eilat,ramon airport,ETM
haifa,haifa airport,HFA
tel aviv,ben gurion airport,TLV
aqaba,king hussein international airport,AQJ
amman,queen alia international airport,AMM
kuwait city,kuwait international airport,KWI
beirut,beirut–rafic hariri international airport,BEY
muscat,muscat international airport,MCT
salalah,salalah international airport,SLL
sohar,sohar international airport,OHS
doha,hamad international airport,DOH
abha,abha international airport,AHB
al-ahsa,al-ahsa international airport,HOF
al-jawf,al jouf airport,AJF
buraydah,prince naif bin abdulaziz international airport,ELQ
dammam,king fahd international airport,DMM
ha'il,ha'il international airport,HAS
jeddah,king abdulaziz international airport,JED
jizan,jizan regional airport,GIZ
medina,prince mohammad bin abdulaziz international airport,MED
najran,najran domestic airport,EAM
riyadh,king khalid international airport,RUH
tabuk,tabuk regional airport,TUU
ta'if,ta'if regional airport,TIF
yanbu,yanbu airport,YNB
aleppo,aleppo international airport,ALP
damascus,damascus international airport,DAM
latakia,bassel al-assad international airport,LTK
qamishli,qamishli airport,KAC
abu dhabi,abu dhabi international airport,AUH
al ain,al ain international airport,AAN
dubai,al maktoum international airport,DWC
dubai,dubai international airport,DXB
ras al khaimah,ras al khaimah international airport,RKT
sharjah,sharjah international airport,SHJ
aden,aden international airport,ADE
sanaa,sanaa international airport,SAH
seiyun,seiyun airport,GXF
solihull,birmingham airport,BHX
hurn,bournemouth airport,BOH
wrington,bristol airport,BRS
rhoose,cardiff airport,CWL
middleton st. george,durham tees valley airport,MME
castle donington,east midlands airport,EMA
clyst honiton,exeter international airport,EXT
yeadon,leeds bradford international airport,LBA
liverpool,liverpool john lennon airport,LPL
london borough of newham,london city airport,LCY
horley,gatwick airport,LGW
london borough of hillingdon,heathrow airport,LHR
luton,luton airport,LTN
rochford,london southend airport,SEN
bishop's stansted,london stansted airport,STN
ringway,manchester airport,MAN
newcastle upon tyne,newcastle airport,NCL
st. magwan in pydar,newquay cornwall airport,NQY
norwich,norwich international airport,NWI
eastleigh,southampton airport,SOU
aberdeen,aberdeen airport,ABZ
edinburgh,edinburgh airport,EDI
glasgow,glasgow international airport,GLA
glasgow,glasgow prestwick airport,PIK
inverness,inverness airport,INV
belfast,belfast international airport,BFS
belfast,george best belfast city airport,BHD
derry,city of derry airport,LDY
antwerp,antwerp international airport,ANR
brussels,brussels airport,BRU
liège,liège airport,LGG
ostend/bruges,ostend–bruges international airport,OST
ajaccio,ajaccio napoleon bonaparte airport,AJA
bastia,poretta airport,BIA
beauvais,beauvais–tillé airport,BVA
bergerac,bergerac dordogne périgord airport,EGC
béziers,béziers cap d'agde airport,BZR
biarritz,biarritz pays basque airport,BIQ
bordeaux,bordeaux–mérignac airport,BOD
brest,brest bretagne airport,BES
carcassonne,carcassonne airport,CCF
châlons-en-champagne,châlons vatry airport,XCR
chambéry,chambéry airport,CMF
dinard,dinard–pleurtuit–saint-malo airport,DNR
figari,figari–sud corse airport,FSC
grenoble,alpes–isère airport,GNB
île de ré,la rochelle – île de ré airport,LRH
lille,lille airport,LIL
limoges,limoges – bellegarde airport,LIG
lyon,lyon–saint exupéry airport,LYS
marseille,marseille provence airport,MRS
mulhouse,euroairport basel mulhouse freiburg,BSL
nantes,nantes atlantique airport,NTE
nice,nice côte d'azur airport,NCE
nîmes,nîmes–alès–camargue–cévennes airport,FNI
paris,charles de gaulle airport,CDG
paris,orly airport,ORY
pau,pau pyrénées airport,PUF
perpignan,perpignan–rivesaltes airport,PGF
poitiers,poitiers–biard airport,PIS
rodez,rodez–aveyron airport,RDZ
saint-étienne,saint-étienne–bouthéon airport,EBU
strasbourg,strasbourg airport,SXB
toulon,toulon–hyères airport,TLN
toulouse,toulouse–blagnac airport,TLS
tours,tours val de loire airport,TUF
gibraltar,gibraltar international airport,GIB
alderney,alderney airport,ACI
guernsey,guernsey airport,GCI
jersey,jersey airport,JER
cork,cork airport,ORK
dublin,dublin airport,DUB
kerry,kerry airport,KIR
knock,ireland west airport,NOC
shannon,shannon airport,SNN
isle of man,isle of man airport,IOM
luxembourg city,findel airport,LUX
amsterdam,amsterdam airport schiphol,AMS
eindhoven,eindhoven airport,EIN
groningen,groningen airport eelde,GRQ
maastricht,maastricht aachen airport,MST
rotterdam,rotterdam the hague airport,RTM
graz,graz airport,GRZ
klagenfurt,klagenfurt airport,KLU
innsbruck,innsbruck airport,INN
linz,linz airport,LNZ
salzburg,salzburg airport,SZG
vienna,vienna international airport,VIE
brno,brno–tuřany airport,BRQ
karlovy vary,karlovy vary airport,KLV
ostrava,leoš janáček airport ostrava,OSR
prague,václav havel airport prague,PRG
pardubice,pardubice airport,PED
baden-baden/karlsruhe,karlsruhe/baden-baden airport,FKB
berlin,berlin brandenburg airport,BER
bremen,bremen airport,BRE
cologne/bonn,cologne/bonn airport,CGN
dortmund,dortmund airport,DTM
düsseldorf,düsseldorf airport,DUS
frankfurt,frankfurt airport,FRA
frankfurt,frankfurt-hahn airport,HHN
freiburg im breisgau,euroairport basel–mulhouse–freiburg,BSL
friedrichshafen,friedrichshafen airport,FDH
hamburg,hamburg airport,HAM
hanover,hannover airport,HAJ
leipzig,leipzig/halle airport,LEJ
lübeck,lübeck airport,LBC
memmingen,memmingen airport,FMM
munich,munich airport,MUC
nuremberg,nuremberg airport,NUE
stuttgart,stuttgart airport,STR
weeze,weeze airport,NRN
budapest,budapest ferenc liszt international airport,BUD
debrecen,debrecen international airport,DEB
hévíz,hévíz-balaton airport,SOB
győr,győr-pér international airport,QGY
pécs,pécs-pogány international airport,QPJ
bratislava,bratislava airport,BTS
košice,košice international airport,KSC
piešťany,piešťany airport,PZY
poprad,poprad-tatry airport,TAT
sliač,sliač airport,SLD
žilina,žilina airport,ILZ
basel,euroairport basel mulhouse freiburg,BSL
bern,bern airport,BRN
geneva,geneva airport,GVA
lugano,lugano airport,LUG
st. gallen,st. gallen–altenrhein airport,ACH
zürich,zurich airport,ZRH
bydgoszcz,bydgoszcz ignacy jan paderewski airport,BZG
gdańsk,gdańsk lech wałęsa airport,GDN
katowice,katowice airport,KTW
kraków,kraków john paul ii international airport,KRK
lublin,lublin airport,LUZ
łódź,łódź władysław reymont airport,LCJ
poznań,poznań–ławica airport,POZ
rzeszów,rzeszów–jasionka airport,RZE
szczecin,solidarity szczecin–goleniów airport,SZZ
warsaw,warsaw chopin airport,WAW
wrocław,copernicus airport wrocław,WRO
brač,brač airport,BWK
dubrovnik,dubrovnik airport,DBV
mali lošinj,lošinj airport,LSZ
osijek,osijek airport,OSI
pula,pula airport,PUY
rijeka,rijeka airport,RJK
split,split airport,SPU
zadar,zadar airport,ZAD
zagreb,zagreb airport,ZAG
larnaca,larnaca international airport,LCA
paphos,paphos international airport,PFO
north nicosia,ercan international airport,ECN
athens,athens international airport,ATH
cephalonia,kefalonia island international airport,EFL
chania,chania international airport,CHQ
chios,chios island national airport,JKH
corfu,corfu international airport,CFU
heraklion,heraklion international airport,HER
kalamata,kalamata international airport,KLX
karpathos,karpathos island national airport,AOK
kavala,kavala international airport,KVA
kos,kos international airport,KGS
mykonos,mykonos airport,JMK
mytilene,mytilene international airport,MJT
preveza,aktion national airport,PVK
rhodes,rhodes international airport,RHO
samos,samos international airport,SMI
santorini,santorini (thira) international airport,JTR
skiathos,skiathos international airport,JSI
skyros,skyros island national airport,SKU
thessaloniki,thessaloniki airport,SKG
volos,nea anchialos national airport,VOL
zakynthos,zakynthos international airport,ZTH
alghero,fertilia airport,AHO
ancona,ancona airport,AOI
bari,palese airport,BRI
bergamo,orio al serio airport,BGY
bologna,bologna airport,BLQ
brescia,brescia airport,VBS
brindisi,brindisi airport,BDS
cagliari,cagliari airport,CAG
catania,fontanarossa airport,CTA
cuneo,cuneo levaldigi airport,CUF
florence,peretola airport,FLR
genoa,cristoforo colombo airport,GOA
lamezia,lamezia terme airport,SUF
milan,linate airport,LIN
milan malpensa airport,mxp,Large
naples,naples international airport,NAP
olbia,costa smeralda airport,OLB
palermo,palermo airport,PMO
parma,giuseppe verdi airport,PMF
perugia,san egidio airport,PEG
pescara,abruzzo airport,PSR
pisa,galileo galilei airport,PSA
rimini,federico fellini airport,RMI
rome,leonardo da vinci–fiumicino airport,FCO
rome ciampino airport,cia,Medium
trapani,vincenzo florio airport,TPS
trieste,friuli venezia giulia airport,TRS
turin,caselle airport,TRN
venice,venice marco polo airport,VCE
verona,verona villafranca airport,VRN
valletta,malta international airport,MLA
beja,beja airport,BYJ
faro,faro airport,FAO
funchal,madeira airport,FNC
porto santo island,porto santo airport,PXO
lisbon,lisbon airport,LIS
porto,francisco sá carneiro airport,OPO
ponta delgada,joão paulo ii airport,PDL
terceira island,lajes airport,TER
ljubljana,ljubljana jože pučnik airport,LJU
maribor,maribor edvard rusjan airport,MBX
portorož,portorož airport,POW
a coruña,a coruña airport,LCG
alicante,alicante–elche miguel hernández airport,ALC
almería,almería airport,LEI
asturias,asturias airport,OVD
barcelona,josep tarradellas barcelona–el prat airport,BCN
bilbao,bilbao airport,BIO
castellón de la plana,castellón–costa azahar airport,CDT
fuerteventura,fuerteventura airport,FUE
girona,girona-costa brava airport,GRO
gran canaria,gran canaria airport,LPA
granada,federico garcía lorca granada airport,GRX
huesca,huesca-pirineos airport,HSK
ibiza,ibiza airport,IBZ
jerez de la frontera,jerez airport,XRY
la palma,la palma airport,SPC
lanzarote,lanzarote airport,ACE
lleida,alguaire airport,ILD
madrid,madrid-barajas airport,MAD
málaga,málaga airport,AGP
menorca,menorca airport,MAH
murcia,región de murcia international airport,RMU
palma de mallorca,palma de mallorca airport,PMI
pamplona,pamplona airport,PNA
reus,reus airport,REU
santander,santander airport,SDR
santiago de compostela,santiago de compostela airport,SCQ
seville,seville airport,SVQ
tenerife,tenerife north–ciudad de la laguna airport,TFN
tenerife south airport,tfs,Medium
valencia,valencia airport,VLC
valladolid,valladolid airport,VLL
vigo,vigo–peinador airport,VGO
vitoria-gasteiz,vitoria airport,VIT
zaragoza,zaragoza airport,ZAZ
tirana,tirana international airport nënë tereza,TIA
kukes,kukës international airport zayed,KFZ
yerevan,zvartnots international airport,EVN
gyumri,shirak airport,LWN
baku,heydar aliyev international airport,GYD
ganja,ganja international airport,KVD
nakhchivan,nakhchivan airport,NAJ
qabala,qabala international airport,GBB
lankaran,lankaran international airport,LLK
zaqatala,zaqatala international airport,ZTU
grodno,hrodna airport,GNA
gomel,gomel airport,GME
minsk,minsk international airport,MSQ
banja luka,banja luka international airport,BNX
sarajevo,sarajevo international airport,SJJ
tuzla,tuzla international airport,TZL
mostar,mostar international airport,OMO
burgas,burgas airport,BOJ
plovdiv,plovdiv airport,PDV
sofia,sofia airport,SOF
varna,varna airport,VAR
batumi,batumi international airport,BUS
kutaisi,kutaisi international airport,KUT
sokhumi,sukhumi babushara airport,SUI
tbilisi,tbilisi international airport,TBS
pristina,pristina international airport,PRN
chişinău,chișinău international airport,KIV
arad,arad international airport,ARW
bacau,george enescu international airport,BCM
baia mare,maramureș airport,BAY
bucharest,henri coandă international airport|,OTP
cluj-napoca,cluj-napoca international airport,CLJ
constanța,mihail kogălniceanu international airport,CND
craiova,craiova international airport,CRA
iași,iași international airport,IAS
oradea,oradea international airport,OMR
satu mare,satu mare international airport,SUJ
sibiu,sibiu international airport,SBZ
suceava,suceava international airport,SCV
târgu mureș,târgu mureș international airport,TGM
timișoara,timișoara traian vuia international airport,TSR
podgorica,podgorica airport,TGD
tivat,tivat airport,TIV
ohrid,ohrid st. paul the apostle airport,OHD
skopje,skopje international airport,SKP
abakan,abakan international airport,ABA
anadyr,ugolny airport,DYR
anapa,anapa airport,AAQ
arkhangelsk,talagi airport,ARH
astrakhan,narimanovo airport,ASF
barnaul,barnaul airport,BAX
belgorod,belgorod international airport,EGO
blagoveshchensk,ignatyevo airport,BQS
bratsk,bratsk airport,BTK
bryansk,bryansk international airport,BZK
cheboksary,cheboksary international airport,CSY
chelyabinsk,chelyabinsk airport,CEK
cherepovets,cherepovets airport,CEE
chita,chita-kadala international airport,HTA
elista,elista airport,ESL
irkutsk,irkutsk airport,IKT
grozny,grozny airport,GRV
kaliningrad,khrabrovo airport,KGD
kazan,kazan airport,KZN
khabarovsk,khabarovsk novy airport,KHV
komsomolsk-on-amur,komsomolsk-on-amur airport,KXK
krasnodar,pashkovsky airport,KRR
krasnoyarsk,yemelyanovo international airport,KJA
kursk,kursk vostochny airport,URS
magadan,sokol airport,GDX
magnitogorsk,magnitogorsk international airport,MQF
makhachkala,uytash airport,MCX
mineralnye vody,mineralnye vody airport,MRV
moscow,domodedovo international airport,DME
sheremetyevo international airport,svo,Large
vnukovo airport,vko,Medium
murmansk,murmansk airport,MMK
nalchik,nalchik airport,NAL
nizhnevartovsk,nizhnevartovsk airport,NJC
nizhnekamsk,begishevo airport,NBC
nizhny novgorod,strigino airport,GOJ
novokuznetsk,spichenkovo airport,NOZ
novosibirsk,tolmachevo airport,OVB
omsk,omsk tsentralny airport,OMS
orenburg,orenburg tsentralny airport,REN
orsk,orsk airport,OSW
perm,perm international airport,PEE
petrozavodsk,petrozavodsk airport,PES
provideniya,provideniya bay airport,PVS
petropavlovsk-kamchatsky,yelizovo airport,PKC
pskov,pskov airport,PKV
rostov-on-don,platov international airport,ROV
saint petersburg,pulkovo airport,LED
samara,samara kurumoch airport,KUF
saratov,saratov gagarin airport,GSV
sochi,sochi international airport,AER
stavropol,stavropol shpakovskoye airport,STW
surgut,surgut international airport,SGC
syktyvkar,syktyvkar airport,SCW
tomsk,bogashevo airport,TOF
tyumen,roshchino international airport,TJM
ulan-ude,baikal international airport,UUD
ulyanovsk,ulyanovsk baratayevka airport,ULV
ufa,ufa international airport,UFA
vladivostok,vladivostok international airport,VVO
vladikavkaz,beslan airport,OGZ
volgograd,volgograd international airport,VOG
voronezh,voronezh international airport,VOZ
yakutsk,yakutsk airport,YKS
yaroslavl,tunoshna airport,IAR
yekaterinburg,koltsovo international airport,SVX
yuzhno-sakhalinsk,yuzhno-sakhalinsk airport,UUS
belgrade,belgrade nikola tesla airport,BEG
niš,niš constantine the great airport,INI
kraljevo,morava airport,KVO
adana,şakirpaşa airport,ADA
alanya,gazipaşa airport,GZP
ankara,esenboğa international airport,ESB
antalya,antalya airport,AYT
bodrum,milas–bodrum airport,BJV
bursa,yenişehir airport,YEI
dalaman,dalaman airport,DLM
denizli,denizli çardak airport,DNZ
diyarbakır,diyarbakır airport,DIY
elazığ,elazığ airport,EZS
gaziantep,oğuzeli airport,GZT
istanbul,istanbul airport,IST
i̇zmir,adnan menderes airport,ADB
kayseri,erkilet airport,ASR
konya,konya airport,KYA
kütahya,zafer airport,KZR
malatya,erhaç airport,MLX
nevşehir,kapadokya airport,NAV
samsun,samsun-çarşamba airport,SZF
trabzon,trabzon airport,TZX
zonguldak,zonguldak airport,ONQ
chernivtsi,chernivtsi international airport,CWC
dnipro,dnipro international airport,DNK
ivano-frankivsk,ivano-frankivsk international airport,IFO
kharkiv,kharkiv international airport,HRK
kryvyi rih,kryvyi rih international airport,KWG
kyiv,boryspil international airport,KBP
lviv,lviv danylo halytskyi international airport,LWO
mykolaiv,mykolaiv international airport,NLV
odesa,odesa international airport,ODS
poltava,poltava airport,PLV
simferopol,simferopol international airport,SIP
uzhhorod,uzhhorod international airport,UDJ
zaporizhzhia,zaporizhzhia international airport,OZH
aalborg,aalborg airport,AAL
aarhus,aarhus airport,AAR
billund,billund airport,BLL
copenhagen,copenhagen airport,CPH
tallinn,lennart meri tallinn airport,TLL
tartu,tartu airport,TAY
pärnu,pärnu airport,EPU
vágar,vágar airport,FAE
åland,mariehamn airport,MHQ
helsinki,helsinki-vantaa airport,HEL
kittilä,kittilä airport,KTT
kuopio,kuopio airport,KUO
kuusamo,kuusamo airport,KAO
lappeenranta,lappeenranta airport,LPP
oulu,oulu airport,OUL
rovaniemi,rovaniemi airport,RVN
savonlinna,savonlinna airport,SVL
tampere,tampere–pirkkala airport,TMP
turku,turku airport,TKU
vaasa,vaasa airport,VAA
akureyri,akureyri airport,AEY
egilsstaðir,egilsstaðir airport,EGS
reykjavík,keflavik international airport,KEF
reykjavík airport,rkv,Small
riga,riga international airport,RIX
ventspils,ventspils international airport,VNT
kaunas,kaunas airport,KUN
palanga,palanga international airport,PLQ
šiauliai,šiauliai international airport,SQQ
vilnius,vilnius airport,VNO
ålesund,ålesund airport,AES
bergen,bergen airport,BGO
bodø,bodø airport,BOO
haugesund,haugesund airport,HAU
kristiansand,"kristiansand airport, kjevik",KRS
"kristiansund airport, kvernberget",ksu,Small
oslo,"oslo airport, gardermoen",OSL
"sandefjord airport, torp",trf,Small
stavanger,stavanger airport,SVG
tromsø,tromsø airport,TOS
trondheim,trondheim airport,TRD
gothenburg,göteborg landvetter airport,GOT
luleå,luleå airport,LLA
malmö,malmö airport,MMX
norrköping,norrköping airport,NRK
östersund,åre östersund airport,OSD
stockholm,stockholm arlanda airport,ARN
stockholm bromma airport,bma,Small
stockholm skavsta airport,nyo,Small
stockholm västerås airport,vst,Non-Hub
sundsvall,sundsvall–timrå airport,SDL
umeå,umeå airport,UME
växjö,växjö airport,VXO
visby,visby airport,VBY
pago pago,pago pago international airport,PPG
adelaide,adelaide airport,ADL
brisbane,brisbane airport,BNE
broome,broome international airport,BME
cairns,cairns airport,CNS
canberra,canberra airport,CBR
darwin,darwin international airport,DRW
geelong,avalon airport,AVV
gold coast,gold coast airport,OOL
hobart,hobart airport,HBA
melbourne,melbourne airport,MEL
newcastle,newcastle airport[42],NTL
perth,perth airport,PER
port hedland,port hedland international airport,PHE
sunshine coast,sunshine coast airport[43],MCY
sydney,sydney airport,SYD
townsville,townsville airport,TSV
christmas island,christmas island airport,XCH
cocos (keeling) islands,cocos (keeling) islands airport,CCK
rarotonga,rarotonga airport,RAR
hanga roa,mataveri international airport,IPC
nadi,nadi international airport,NAN
suva,nausori international airport,SUV
papeete,faa'a international airport,PPT
hagåtña,antonio b. won pat international airport,GUM
kiritimati,cassidy international airport,CXI
tarawa,bonriki international airport,TRW
kwajalein,bucholz army airfield,KWA
majuro,marshall islands international airport,MAJ
chuuk,chuuk international airport,TKK
kosrae,kosrae international airport,KSA
pohnpei,pohnpei international airport,PNI
yap,yap international airport,YAP
yaren district,nauru international airport,INU
nouméa,la tontouta international airport,NOU
auckland,auckland airport,AKL
christchurch,christchurch airport,CHC
dunedin,dunedin airport,DUD
queenstown,queenstown airport,ZQN
wellington,wellington airport,WLG
norfolk island,norfolk island airport,NLK
rota,rota international airport,ROP
saipan,saipan international airport,SPN
tinian,tinian international airport,TIQ
alofi,niue international airport,IUE
koror,roman tmetuchl international airport,ROR
port moresby,jacksons international airport,POM
mount hagen,mount hagen airport,HGU
apia,faleolo international airport,APW
honiara,honiara international airport,HIR
nukuʻalofa,fuaʻamotu international airport,TBU
vavaʻu,vavaʻu international airport,VAV
funafuti,funafuti international airport,FUN
luganville,santo-pekoa international airport,SON
port vila,bauerfield international airport,VLI
futuna,pointe vele airport,FUT
wallis,hihifo airport,WLS
